University Name,Tuition Cost,State,Courses Offered,Scholarships Offered,Percentage of Students on Scholarship,Acceptance Rate,Ranking of University,Cost of Living
"College of Stanley, Dixon and Stephens",25000,New York,"Computer Science, Art History, Psychology, Biology",Yes,7.89,22.82,125,5000
"School of Thomas, Moody and Baker",29000,Tennessee,"Computer Science, Biology, Psychology",No,0,30.45,350,5000
University of Suarez-Ramsey,42000,Michigan,"Engineering, Computer Science, Business, Biology, Art History, Psychology",Yes,50.68,27.6,399,5000
School of Villarreal-Phillips,44000,New Hampshire,"Engineering, Art History",No,0,23.54,13,3000
University of Johnson-Wolf,31000,Illinois,Art History,No,0,4.15,320,5000
College of Hawkins-Peterson,12000,New York,"Business, Art History, Biology, Engineering, Computer Science",Yes,21.92,27.26,58,2000
"School of Serrano, Carter and Franco",27000,Connecticut,"Computer Science, Biology, Art History, Business",Yes,16.12,52.25,267,5000
Institute of Williams-Brown,37000,Michigan,Engineering,No,0,27.86,113,2000
School of Gonzalez-Cruz,37000,Wisconsin,"Art History, Psychology, Computer Science",No,0,24.36,275,4000
College of Freeman-Leach,18000,Indiana,Business,Yes,49.11,34.77,80,4000
"Polytechnic Adams, Harris and Peterson",48000,Ohio,"Business, Computer Science",No,0,6.52,2,2000
School of Wong PLC,14000,Maine,"Computer Science, Art History, Engineering, Business",No,0,16.23,95,2000
School of Mccarthy-Richards,43000,North Dakota,"Engineering, Art History, Business, Psychology, Computer Science, Biology",Yes,74.69,22.95,140,3000
"College of Melton, Lambert and Bautista",38000,California,Art History,Yes,28.24,5.03,16,3000
"School of Lee, Brown and Ho",11000,Wyoming,Business,Yes,25.97,36.92,324,5000
School of Craig Inc,31000,New Jersey,Art History,No,0,30.13,203,4000
"Polytechnic Jordan, Yu and Townsend",50000,New Mexico,"Business, Art History, Computer Science, Engineering, Psychology",Yes,51.22,39.76,87,2000
Polytechnic Taylor Ltd,26000,Alaska,"Engineering, Business, Computer Science, Biology, Psychology",No,0,1.45,398,2000
Polytechnic Garza-Morton,29000,Alabama,"Engineering, Biology, Art History",Yes,28.81,1.77,158,3000
Institute of Gross-Morales,48000,Utah,Psychology,No,0,19.68,345,5000
School of Wu LLC,42000,Mississippi,"Art History, Psychology, Biology, Business",Yes,9.33,22.6,386,3000
"Polytechnic Frank, Hoover and Ellison",23000,Iowa,"Psychology, Business, Computer Science, Biology, Engineering, Art History",No,0,26.54,447,5000
"Institute of White, Levine and Lee",28000,Missouri,"Biology, Psychology, Art History",Yes,97.03,39.06,2,4000
College of Rodriguez Inc,37000,Kentucky,"Business, Computer Science, Engineering, Art History",No,0,56.98,380,5000
College of Costa-Carter,34000,Louisiana,"Psychology, Business",Yes,68.8,29.63,300,5000
College of Thompson Group,33000,Massachusetts,"Computer Science, Biology, Art History, Psychology, Engineering, Business",Yes,55.98,55.48,379,5000
"School of Jackson, Mack and Griffin",16000,Utah,"Art History, Psychology, Engineering, Business, Biology, Computer Science",Yes,73.89,38.26,84,3000
University of Kaufman Inc,15000,Idaho,"Psychology, Business, Biology",No,0,51.21,16,2000
College of Olson-Rice,13000,Connecticut,"Engineering, Psychology, Biology",Yes,16.43,36.09,395,2000
School of Carlson Group,13000,Nebraska,"Engineering, Art History, Psychology, Biology, Computer Science, Business",No,0,42.28,245,4000
"University of Perez, Mcguire and Alexander",11000,Arizona,"Engineering, Computer Science, Biology, Business, Art History",No,0,18.96,241,5000
University of Hernandez Inc,31000,Alaska,Art History,Yes,73.85,6.19,311,4000
College of Baker-Mercado,34000,Georgia,"Computer Science, Engineering, Art History, Business",No,0,43.93,127,4000
Polytechnic Schwartz-Peterson,28000,Colorado,"Engineering, Computer Science, Psychology, Biology",No,0,11.37,113,2000
"University of Stewart, Brock and Mcgrath",12000,Michigan,"Biology, Business, Psychology, Computer Science, Engineering, Art History",No,0,32.01,4,4000
School of Washington-Gonzales,10000,Georgia,"Psychology, Computer Science, Art History, Engineering, Biology, Business",No,0,33.56,45,2000
"University of Herman, Grant and Williams",23000,West Virginia,"Computer Science, Business, Engineering, Biology",No,0,7.55,436,2000
College of Anderson PLC,12000,Montana,"Business, Art History",No,0,29.9,176,4000
Polytechnic Murphy Group,46000,Michigan,"Business, Computer Science, Art History",No,0,1.28,347,3000
Polytechnic Lam Group,38000,Wisconsin,"Engineering, Computer Science, Psychology, Biology",No,0,16.71,473,5000
School of Sanchez-Perez,49000,Iowa,"Art History, Engineering, Computer Science",Yes,0.35,54.01,248,3000
Polytechnic Campbell-Garza,23000,South Carolina,"Art History, Biology, Computer Science",No,0,20.9,484,4000
"Institute of Nichols, Simpson and Lewis",46000,West Virginia,"Computer Science, Psychology",Yes,24.23,53.59,225,3000
College of Ramirez-Christian,19000,Massachusetts,"Business, Engineering, Psychology",No,0,29.41,375,4000
University of Marshall-Rocha,25000,Montana,"Psychology, Business, Engineering, Art History, Computer Science, Biology",No,0,10.77,188,4000
University of Long-White,29000,South Carolina,"Psychology, Art History, Business",No,0,18.68,284,3000
"School of Good, Wells and Bell",48000,Arkansas,"Art History, Engineering, Psychology, Business, Biology",Yes,63.33,58.56,244,3000
Polytechnic Simmons Ltd,13000,Hawaii,"Art History, Psychology, Biology, Engineering, Computer Science, Business",Yes,82.03,16.87,355,5000
"University of Brooks, Garner and Charles",23000,Washington,"Engineering, Biology",Yes,48.59,18.28,327,3000
College of Adams-Harris,42000,Wisconsin,"Computer Science, Biology, Engineering, Business, Art History",No,0,5.79,493,2000
University of Ochoa-Gray,11000,Illinois,"Engineering, Psychology",Yes,89.3,42.27,84,5000
Institute of King LLC,10000,Kansas,"Art History, Business",Yes,27.86,55.99,296,5000
School of Lester-Chen,42000,Idaho,"Business, Engineering",Yes,88.01,30.51,477,5000
Polytechnic Robinson Group,23000,Kentucky,"Psychology, Biology, Business, Computer Science",No,0,12.89,12,2000
Institute of Holden LLC,11000,Missouri,"Psychology, Engineering, Business, Biology, Art History, Computer Science",No,0,53.79,273,2000
College of Jones PLC,43000,Illinois,"Biology, Psychology",No,0,18.57,276,5000
Institute of Ross-Sosa,21000,Arizona,"Business, Art History, Biology, Engineering, Psychology",No,0,20.98,351,4000
"Polytechnic Watts, Haas and Pratt",46000,Utah,"Art History, Biology, Psychology, Computer Science, Business, Engineering",No,0,35.67,456,3000
School of Gonzalez-Lamb,32000,Iowa,Biology,Yes,78.26,18.75,263,2000
"School of Simmons, Hernandez and Richmond",27000,Delaware,"Computer Science, Biology, Psychology",No,0,49.46,247,5000
"College of Wolfe, Ramirez and Fisher",33000,Arizona,"Art History, Business, Biology, Engineering",Yes,16.42,16.39,42,3000
School of Holland-Wade,41000,Rhode Island,Business,Yes,3.32,4.4,46,4000
Institute of Decker-Carr,34000,Colorado,"Computer Science, Biology, Psychology, Engineering",Yes,52.15,48.61,35,3000
University of Reeves Group,48000,Florida,"Biology, Engineering, Psychology",Yes,14.3,29.0,86,5000
"College of Clark, Adkins and Mcgee",47000,Indiana,"Psychology, Biology, Computer Science",Yes,89.89,22.61,42,4000
"School of Weber, Burns and Williams",15000,Arkansas,Biology,No,0,20.17,224,3000
Institute of Merritt Group,46000,New Hampshire,"Biology, Computer Science, Business, Art History",No,0,56.09,400,5000
"Polytechnic Anderson, Miles and Taylor",21000,Indiana,"Art History, Computer Science, Engineering, Psychology",No,0,11.35,169,4000
Polytechnic Miller Ltd,16000,Texas,"Psychology, Computer Science, Business, Biology",Yes,81.91,53.79,406,2000
College of Jackson-Patton,21000,Kentucky,"Business, Computer Science, Art History, Engineering, Psychology",No,0,7.05,213,5000
College of Thompson-Martin,46000,Utah,Biology,Yes,88.55,9.49,104,5000
"Institute of Adams, Rodriguez and Bell",39000,Iowa,Business,Yes,46.0,33.52,256,2000
Polytechnic Sanchez and Sons,14000,Arkansas,"Biology, Art History, Psychology, Engineering, Business",No,0,50.88,178,3000
Polytechnic Sanchez-Anderson,33000,Vermont,"Biology, Art History, Business",Yes,56.28,39.16,72,4000
College of Roberts and Sons,28000,Utah,Art History,No,0,14.61,455,2000
University of Winters Group,23000,Wyoming,"Engineering, Business, Psychology, Art History, Biology",Yes,97.83,44.87,65,5000
"College of Robertson, Taylor and Perez",16000,Vermont,"Biology, Art History, Psychology, Engineering, Business",Yes,98.0,54.22,98,5000
Polytechnic Parks Inc,42000,North Carolina,"Computer Science, Art History, Engineering, Business, Psychology, Biology",No,0,39.26,256,4000
"University of Lewis, Salazar and Malone",14000,Indiana,"Computer Science, Psychology, Biology",No,0,4.44,164,5000
"School of Holland, Carlson and Morris",24000,Alaska,"Biology, Business, Art History, Engineering",Yes,1.01,25.26,213,4000
"Polytechnic Boyle, Garcia and Williams",31000,Georgia,"Psychology, Business, Biology, Engineering, Computer Science",Yes,61.92,53.11,146,4000
School of Sanchez-Robinson,28000,Rhode Island,Psychology,No,0,59.74,220,2000
University of Kelley and Sons,46000,Arkansas,"Business, Biology, Psychology, Art History",No,0,55.2,178,4000
"Institute of Andrade, Vaughn and Morgan",29000,Alaska,"Engineering, Biology, Business",No,0,42.8,171,3000
"College of Smith, Sanchez and Vaughan",49000,Alaska,Business,Yes,45.93,47.61,363,5000
"Institute of Jones, Jones and Pierce",33000,Montana,"Computer Science, Engineering, Business, Psychology, Art History, Biology",No,0,13.4,138,4000
"Institute of Allen, Weber and Keller",32000,Connecticut,"Biology, Art History, Engineering, Business",No,0,29.38,58,2000
"Institute of Hamilton, Duncan and Gray",21000,South Carolina,"Computer Science, Business, Art History, Psychology",No,0,29.42,283,3000
"University of Sandoval, Lynch and Sanchez",25000,Hawaii,Psychology,No,0,17.84,251,3000
School of Rubio LLC,25000,Tennessee,Psychology,Yes,96.97,6.19,481,5000
School of Oconnell-Rodriguez,10000,Ohio,"Computer Science, Biology, Business, Psychology",Yes,26.38,43.57,221,5000
School of Gonzalez Group,49000,Ohio,"Biology, Psychology, Computer Science, Art History, Business, Engineering",Yes,61.2,5.55,111,2000
University of Gilbert PLC,31000,South Carolina,"Computer Science, Engineering, Biology",Yes,47.72,21.45,153,3000
Polytechnic Neal PLC,12000,Nebraska,"Art History, Biology, Psychology, Business",Yes,7.72,22.27,31,2000
Institute of Flores Ltd,20000,California,Business,Yes,44.7,17.83,13,3000
School of Thompson Group,27000,Arizona,"Computer Science, Art History, Engineering, Business, Biology, Psychology",Yes,71.18,43.36,279,2000
School of Lara-Meyer,27000,Illinois,"Psychology, Business, Art History, Biology, Engineering, Computer Science",Yes,93.38,14.31,241,2000
College of Flores-Baldwin,47000,Wyoming,"Engineering, Biology, Psychology, Business, Art History, Computer Science",Yes,72.39,11.88,443,4000
School of Crawford-Mitchell,34000,Mississippi,"Computer Science, Art History, Biology, Psychology, Engineering, Business",Yes,48.64,11.4,253,2000
Institute of Bailey-Parks,13000,California,"Engineering, Psychology, Biology",No,0,38.81,100,2000
"University of Morgan, Burke and Morales",45000,Mississippi,"Computer Science, Art History, Engineering",Yes,45.59,50.78,480,2000
"Institute of Edwards, Conway and Murphy",13000,New Mexico,"Computer Science, Art History, Biology",Yes,76.58,48.57,470,4000
"University of Walker, Pierce and Jones",38000,Arizona,Engineering,Yes,71.16,11.91,56,3000
"University of Smith, Garcia and Reyes",16000,North Carolina,"Biology, Art History, Psychology, Computer Science",Yes,35.17,26.14,306,5000
Polytechnic Bowman-Hale,12000,Washington,"Engineering, Psychology",Yes,18.98,12.69,52,2000
Institute of Castillo PLC,23000,Nevada,"Computer Science, Business, Biology",No,0,48.63,407,4000
Polytechnic Bentley-Leonard,30000,Maryland,"Engineering, Computer Science, Art History",No,0,4.13,321,2000
"University of Townsend, Martin and Walker",14000,Indiana,"Art History, Biology",No,0,59.81,117,4000
School of Davis-Taylor,34000,Nebraska,"Biology, Art History, Computer Science",No,0,39.09,492,4000
University of Gonzalez Inc,29000,Texas,"Biology, Business, Psychology, Engineering",Yes,0.11,55.52,128,2000
"College of Marquez, Tanner and Ortega",22000,Colorado,"Psychology, Engineering, Business, Art History, Biology",No,0,34.5,85,4000
University of Copeland-Vaughn,19000,Idaho,"Engineering, Business, Biology",Yes,56.71,50.22,451,2000
Polytechnic Carter-West,29000,Texas,"Engineering, Business, Art History, Psychology",No,0,58.83,278,4000
Polytechnic Rios PLC,12000,Arkansas,"Psychology, Biology",No,0,12.83,66,4000
College of Wood Ltd,13000,New Jersey,Art History,No,0,22.66,20,5000
"Institute of Villegas, Gordon and Mckinney",37000,California,"Art History, Psychology, Business, Computer Science",No,0,36.68,345,3000
"Institute of Spencer, Ryan and Freeman",27000,Washington,"Computer Science, Engineering",Yes,19.87,8.88,53,2000
Institute of Clark-Rodriguez,28000,Indiana,Psychology,Yes,23.54,34.43,79,4000
Polytechnic Bryant Ltd,37000,Iowa,"Art History, Engineering",Yes,35.0,32.41,292,4000
"University of White, Reid and Carter",48000,Illinois,Art History,Yes,97.64,5.61,262,5000
"Polytechnic Bautista, Dawson and Reed",23000,Illinois,"Business, Computer Science, Psychology, Biology, Engineering",No,0,45.17,329,4000
"College of Morales, Gibbs and Wilson",44000,Utah,"Business, Art History, Biology, Computer Science",No,0,50.35,370,3000
"Institute of Gillespie, Krause and Miranda",21000,North Dakota,"Art History, Business, Computer Science",No,0,46.89,11,4000
University of Wilson Group,29000,Michigan,"Psychology, Computer Science, Biology, Engineering, Art History",No,0,22.2,454,4000
Institute of Chang Ltd,12000,Wisconsin,"Art History, Business",No,0,51.12,360,3000
"College of Nguyen, Ford and Gonzalez",33000,Wyoming,Art History,Yes,11.28,4.2,120,4000
"College of Mccoy, Barker and Wilson",17000,Alabama,"Biology, Business, Art History, Engineering",Yes,43.36,24.72,308,2000
School of Parker-Baker,25000,Hawaii,"Computer Science, Business",Yes,54.21,49.94,226,3000
University of Gomez-Webb,18000,Mississippi,"Engineering, Art History, Business, Computer Science, Biology",No,0,7.69,71,5000
Polytechnic Miller Group,21000,Alabama,"Computer Science, Psychology, Biology, Art History",Yes,32.16,21.84,164,5000
Institute of Roberts-Johnson,45000,Virginia,"Biology, Business",Yes,87.95,51.2,163,5000
College of Powers-Garcia,26000,Pennsylvania,Engineering,Yes,46.98,34.94,99,4000
School of Brady Inc,41000,Delaware,"Biology, Psychology",No,0,42.69,146,4000
Institute of Wells-Meyer,35000,Kansas,"Engineering, Biology, Computer Science, Psychology, Business, Art History",No,0,54.64,332,3000
University of Middleton-Chavez,31000,Michigan,"Business, Engineering, Psychology, Biology, Computer Science",No,0,44.63,204,4000
University of Anthony Inc,48000,Utah,"Psychology, Art History, Engineering",No,0,31.04,83,5000
Polytechnic Benitez-Allen,12000,Nevada,"Engineering, Psychology",No,0,10.36,211,2000
College of Stevens-Sherman,28000,Kansas,"Art History, Engineering, Psychology, Biology, Business, Computer Science",No,0,11.32,212,2000
College of Ramsey Group,25000,Nevada,"Psychology, Business, Biology, Computer Science",Yes,17.71,28.17,339,2000
Polytechnic Smith Ltd,39000,Massachusetts,"Psychology, Business, Biology, Art History, Computer Science, Engineering",Yes,16.79,6.15,284,4000
Institute of French-Garza,43000,Oklahoma,Engineering,Yes,56.19,14.24,428,5000
School of Coleman-Pham,19000,Alabama,"Computer Science, Business, Biology, Engineering, Art History, Psychology",Yes,17.66,50.76,152,4000
Institute of Brown PLC,13000,Mississippi,"Engineering, Art History, Computer Science, Biology, Psychology, Business",No,0,24.03,278,2000
Institute of Murphy-Johnson,12000,Florida,Art History,No,0,48.49,317,2000
School of Benton PLC,30000,Nebraska,"Computer Science, Business",No,0,47.49,59,3000
"Polytechnic Wong, Murphy and Stone",20000,Wyoming,"Psychology, Art History, Business, Computer Science, Engineering",No,0,19.77,121,4000
School of White and Sons,41000,California,"Biology, Engineering",No,0,26.15,470,2000
Institute of Jimenez-Carter,41000,Oklahoma,"Biology, Business, Engineering",No,0,28.93,228,4000
College of Mitchell-Phillips,15000,Florida,"Psychology, Business, Engineering, Computer Science, Art History, Biology",Yes,57.84,34.88,327,2000
